"Indicator type","Indicator","Description"
"hostname","ns18.domaincontrol.com",""
"hostname","ns17.domaincontrol.com",""
"hostname","ns4htz.name.com",""
"hostname","ns3cna.name.com",""
"hostname","ns2clp.name.com",""
"hostname","ns1cnb.name.com",""
"URL","https://communicationsj.org",""
"URL","http://communicationsj.org",""
"URL","http://advmaterj.org",""
"URL","https://advmaterj.org",""
"URL","http://ijossn.com",""
"URL","https://ijossn.com",""
"email","stellazhou@ijossn.com",""
"email","lawrence.th@advmaterj.org",""
"email","wiggins@communicationsj.org",""
"domain","communicationsj.org",""
"domain","ijossn.com",""
"domain","advmaterj.org",""
