"Indicator type","Indicator","Description"
"domain","nagibin.sa",""
"email","nagibin.sa@krovelnycenter.ru",""
"email","erdabnam@icloud.com",""
"email","srso+yf09=cw=pobox.com=ann@pobox.com",""
"email","ann@pobox.com",""
"domain","pobox.com",""
"hostname","mail.bo.lighting",""
"email","srso+yf09=cw=pobox.com=anne@pobox.com",""
"email","anne@pobox.com",""
"domain","krovelnycenter.ru",""
"hostname","mail.w-email.ru",""
"hostname","geolog.dclouds.ru",""
"domain","dclouds.ru",""
"hostname","111aaaaa.d4.dclouds.ru",""
"hostname","aaaaaaaaa.d4.dclouds.ru",""
"hostname","cozyhome-stage-omni.dclouds.ru",""
"hostname","cozyhome-stage-qa.dclouds.ru",""
"hostname","jjjjjjjjjjj.d4.dclouds.ru",""
"hostname","omen-showcases-test11.d4.dclouds.ru",""
"hostname","omen-showcases-test111.d4.dclouds.ru",""
"hostname","omen-showcases-test3.d4.dclouds.ru",""
"hostname","omen-showcases.d4.dclouds.ru",""
"hostname","ssssss.d4.dclouds.ru",""
"hostname","test-ffff.d4.dclouds.ru",""
"hostname","test111.d4.dclouds.ru",""
"hostname","test11111.d4.dclouds.ru",""
"hostname","test1114.d4.dclouds.ru",""
"hostname","test123456.d4.dclouds.ru",""
"hostname","test55.d4.dclouds.ru",""
"hostname","test9.d4.dclouds.ru",""
"hostname","test99.d4.dclouds.ru",""
"hostname","traefik.d2-4.dclouds.ru",""
"URL","http://geolog.dclouds.ru/",""
"URL","http://lukoilb2b-adaptive.dclouds.ru/",""
