"Indicator type","Indicator","Description"
"email","independentcollection@contact-client.com",""
"domain","contact-client.com",""
"hostname","hotelorigami.slinks.contact-client.com",""
"hostname","independentcollection.mlinks.contact-client.com",""
"hostname","link.hutton.contact-client.com",""
"hostname","mi.contact-client.com",""
"hostname","mystic.contact-client.com",""
"URL","https://view.contact-client.com/Addons.mvc/Addons/ViewInBrowser?v=Yakntv7JwE+TThF4xXJlf+5MI+s9D2IwLzBlpMXQ4+9jXlmSzzJUN0LVpeNbr3VqW3obxVMaYhI=",""
"URL","https://view.contact-client.com/Addons.mvc/Addons/ViewInBrowser?v=Yakntv7JwE/M+KhOiymtB/MfqXZmbYeAnw1mdFQDv53OViDH2Tuhris4QLD8HxQkqJZSPP31/gk=",""
"URL","https://view.contact-client.com/Addons.mvc/Addons/ViewInBrowser?v=Yakntv7JwE8xGjYrb/aSGPMfqXZmbYeAQWuT9ao/RY0TsDj43e9RBELVpeNbr3VqmGNv4BwjNik=",""
"domain","cendynone.com",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/4639499/79282/_1b84c8958a234c41c4282c819edaca43e633424e/6fc4ddcc8c290543f70b99cb49edce4a722c572",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/4915845/624411/_7840f2d4b750f5a4c2d9864a165d80f09dbafcaf/7d27d0be500885935f6386c496adfa4fd430a9e3",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/5774516/611707/_8e70d289d07c8ce34477de9034f189dbabe3993d/518b6ed8cf730e6792264e679311d0d109a5f513",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/5774516/619383/_8e70d289d07c8ce34477de9034f189dbabe3993d/3867d7125b535f7f2efa5fb4e8a525b50439f5e9",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/6107678/661172/_4a7ae03d0f49a9b5a9268b485954895f22589f81/b1d99c570ad5287ce97c0272cfd8699674c8d112",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/6107678/661172/_7b26c0e32c1006d1c0e9c35ad4a89f1c81d8820a/b1d99c570ad5287ce97c0272cfd8699674c8d112",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/click/6108184/770606/_7c9ff4893de473466f6a13c55732f2b996d75618/2c1d1a6b11645b4804998481bd37d614d3676249",""
"URL","http://independentcollection.mlinks.contact-client.com/a/553/open/3679474/79282/42fbd573f656a9805a7a16ee2943c6336efef1fd",""
"URL","http://independentcollection.mlinks.contact-client.com/clk/553/4542092/79282/_08c6e4c2f59915f5ac2c5df9fcb1b2bc58cbda72/c75ddc969a77b433d64a8d04ed4f83b3c0333d15/aHR0cHM6Ly92aWV3LmNvbnRhY3QtY2xpZW50LmNvbS9BZGRvbnMubXZjL0FkZG9ucy9WaWV3SW5Ccm93c2VyP3Y9WWFrbnR2N0p3RSUyZlFUJTJiYVloNVlhaSUyYjVNSSUyYnM5RDJJd2ptQ2wxM29MMnYxc0FtVEpoR3BtUDQ3N2RiaG9DcmtuWjgwaEYlMmZ6V3FmRSUzZA=",""
"URL","http://independentcollection.mlinks.contact-client.com/clk/553/4915845/624411/_08c6e4c2f59915f5ac2c5df9fcb1b2bc58cbda72/7d27d0be500885935f6386c496adfa4fd430a9e3/aHR0cHM6Ly92aWV3LmNvbnRhY3QtY2xpZW50LmNvbS9BZGRvbnMubXZjL0FkZG9ucy9WaWV3SW5Ccm93c2VyP3Y9WWFrbnR2N0p3RTg0JTJidXgyUjRSa3NQTWZxWFptYlllQXlvaU0xb0NldTZhMXdzWVB4bHNQWVlIeU9ackJqMVF1eiUyYm9DSEJlMFgwTSUzZA==",""
"URL","http://independentcollection.mlinks.contact-client.com/clk/553/5774516/611707/_08c6e4c2f59915f5ac2c5df9fcb1b2bc58cbda72/518b6ed8cf730e6792264e679311d0d109a5f513/aHR0cHM6Ly92aWV3LmNvbnRhY3QtY2xpZW50LmNvbS9BZGRvbnMubXZjL0FkZG9ucy9WaWV3SW5Ccm93c2VyP3Y9WWFrbnR2N0p3RThZSm4zd2QlMmJuS2NQTWZxWFptYlllQTNIVTdYa2Y3b2hnYVprR1E3V28yQWl3OUMlMmZnaTFITUlZUlQ0THN0OFJpNCUzZA==",""
"URL","http://www.cendynone.com",""
"URL","http://www.cendynone.com/",""
"URL","https://www.cendynone.com",""
"URL","https://www.cendynone.com/",""
"URL","https://www.cendynone.com/getmedia/d853049b-23e2-4bcb-95dc-226092de769a/SKIFT-the-hotel-industry-automated-future",""
"URL","http://www.wihphotels.com",""
"URL","http://cendyn17.com",""
"URL","http://cendynone.com",""
"URL","http://contact-client.com",""
"URL","http://esurvey-client.com",""
"URL","http://wihphotels.com",""
"URL","http://cendyn-one.com",""
"URL","http://ftp.contact-client.com",""
"URL","http://hotelzags.reservations-client.com",""
"URL","http://reservations-client.com",""
"URL","http://staging9.cendyn.com",""
"URL","http://www.cendyn-one.com",""
"URL","http://www.cendyn17.com",""
"URL","http://www.contact-client.com",""
"URL","http://www.reservations-client.com",""
"domain","cendyn-one.com",""
"domain","cendyn17.com",""
"domain","esurvey-client.com",""
"domain","reservations-client.com",""
"domain","wihphotels.com",""
"hostname","ftp.contact-client.com",""
"hostname","hotelzags.reservations-client.com",""
"hostname","staging9.cendyn.com",""
"hostname","www.cendyn-one.com",""
"hostname","www.cendyn17.com",""
"hostname","www.cendynone.com",""
"hostname","www.contact-client.com",""
"hostname","www.reservations-client.com",""
"hostname","www.wihphotels.com",""
"URL","http://22ae4f8d.nip.io",""
"hostname","22ae4f8d.nip.io",""
