"Indicator type","Indicator","Description"
"email","info@nahakojin.jp",""
"domain","nahakojin.jp",""
"email","mailer@indigo-mail4.com",""
"domain","indigo-mail4.com",""
"domain","sparkpostmail.com",""
"domain","adorenaments.org",""
"domain","bonez.net",""
"domain","bottomlessinc.com",""
"domain","brax-software.com",""
"domain","coursasports.com",""
"hostname","crl.prod.cagenerator.pki.strln.net",""
"domain","eddyproject.net",""
"domain","familyrecipeapp.com",""
"domain","farthingfarm.com",""
"domain","goforsystemadministration.com",""
"domain","hydraworldwide.com",""
"domain","iazoo.com",""
"domain","kytkea.com",""
"hostname","level2-c8b217a33fcf1f839f6f1f73a00a9ae7.flaws.cloud",""
"domain","nexttrucking.com",""
"domain","partybunnydeathcult.com",""
"domain","runthestride.com",""
"domain","sassmeister.com",""
"domain","spark-training.org",""
"domain","thecube.net",""
"URL","http://hydraworldwide.com",""
"URL","http://blog.bottomlessinc.com",""
"URL","http://blog.bottomlessinc.com/",""
"URL","https://blog.bottomlessinc.com",""
"domain","strln.net",""
"URL","http://crl.prod.cagenerator.pki.strln.net/ca.pem",""
"URL","http://crl.prod.cagenerator.pki.strln.net/ca.pem0B",""
"URL","http://crl.prod.cagenerator.pki.strln.net/crl.pem0",""
"domain","flaws.cloud",""
"URL","http://links.aws.nexttrucking.com",""
"URL","https://demand.nexttrucking.com/t/109313/open/342628bb-5f73-486e-87cb-6e6e0b15757e.gif",""
"URL","https://demand.nexttrucking.com/t/109313/opt_out/342628bb-5f73-486e-87cb-6e6e0b15757e",""
"URL","https://links.aws.nexttrucking.com",""
"URL","https://ops.nexttrucking.com/hs/manage-preferences/unsubscribe-all-test?d=VmYj8z7mLS4TVKgD3Q3_YlyBW2m3bL73_YlyBN1JxwY5GKd_PV20N5k16tMbBW52-1tV7m0bg0D8Q0w796g21&v=3&_hsenc=p2ANqtz-855vDyGVOb9RilVJWyZI2rs2SGJZmlXkN4yF4if5Luy5R3hL8LR5bavSrck0xDFIhbAA3j",""
"URL","https://svcs.us-west-2.prod.aws.nexttrucking.com/mobile",""
"URL","https://www.nexttrucking.com",""
"URL","https://www.nexttrucking.com/",""
"URL","https://www.nexttrucking.com/mobileApp/NEXTTrucking.apk",""
"URL","http://cdn.sassmeister.com",""
"URL","http://embed.sassmeister.com",""
"URL","http://sandbox.sassmeister.com/",""
"URL","http://sassmeister.com/gist/1b4f2da5527830088e4d",""
"URL","http://sassmeister.com/gist/7939513",""
"URL","http://sassmeister.com/gist/9647408",""
"URL","http://static.sassmeister.com/",""
"URL","http://www.sassmeister.com",""
"URL","https://cdn.sassmeister.com",""
"URL","https://embed.sassmeister.com",""
"URL","https://www.sassmeister.com",""
"URL","https://www.sassmeister.com/",""
"URL","https://www.sassmeister.com/about",""
"URL","https://www.sassmeister.com/gist/8150f32dcb534cea86be3a073efe289f",""
"URL","http://www.thecube.net",""
"URL","https://www.thecube.net/",""
"URL","https://www.thecube.net/aws-nyc-2019",""
"URL","https://www.thecube.net/events/gsma/mwc23",""
"URL","https://www.thecube.net/events/gsma/mwc24",""
"URL","https://www.thecube.net/events/platform9/cloudnative-at-scale?utm_source=SA+Social+Media&utm_medium=Twitter&utm_campaign=Platform9",""
"URL","https://www.thecube.net/openstack_summit_2017_boston",""
"URL","https://www.thecube.net/upcomingevents/",""
"URL","https://www.thecube.net/zebrium-root-cause",""
