"Indicator type","Indicator","Description"
"email","acc@supersonictransport.ca",""
"domain","supersonictransport.ca",""
"hostname","cpcalendars.supersonictransport.ca",""
"hostname","cpcontacts.supersonictransport.ca",""
"domain","asiankabaddicup.com",""
"domain","burjdowntown.ca",""
"hostname","burjdowntown.supremeltd.com",""
"domain","canadakabaddicup.com",""
"hostname","canadakabaddicupcom.livekabaddi.com",""
"domain","canadakabaddileague.com",""
"domain","hgbcfarm.com",""
"domain","kabaddicanada.com",""
"hostname","kabaddiinternational.livekabaddi.com",""
"hostname","kabaddiliveorg.livekabaddi.com",""
"domain","kabaddiusa.com",""
"domain","kabadi.org",""
"domain","livekabaddi.com",""
"hostname","livekabaddinet.livekabaddi.com",""
"hostname","livekabaddiorg.livekabaddi.com",""
"hostname","majorkabaddileague.livekabaddi.com",""
"domain","nkac.ca",""
"domain","supremeltd.com",""
"domain","usakabaddi.com",""
"hostname","usakabaddi.livekabaddi.com",""
"hostname","whm.devsonfreight.com",""
"hostname","whm.supremeltd.com",""
"domain","worldcupkabaddi.com",""
"URL","http://asiankabaddicup.com/",""
"URL","http://canadakabaddicup.com/",""
"URL","http://canadakabaddileague.com/",""
"URL","http://hgbcfarm.com",""
"URL","http://kabaddicanada.com",""
"URL","http://kabaddiusa.com/",""
"URL","http://kabadi.org/",""
"URL","http://supremeltd.com/",""
"URL","http://usakabaddi.com/",""
"URL","http://worldcupkabaddi.com/",""
"URL","http://www.livekabaddi.com/kabaddi-players/",""
"URL","http://www.livekabaddi.com/schedule",""
"URL","http://www.nkac.ca/schedule/",""
"URL","http://www.supremeltd.com",""
"URL","https://hgbcfarm.com",""
"URL","https://kabaddicanada.com",""
"hostname","cctltd.supremeltd.com",""
"hostname","crosscountryltd.supremeltd.com",""
"hostname","hgbcfarm.supremeltd.com",""
"hostname","server.supremeltd.com",""
