"Indicator type","Indicator","Description"
"email","updates@indigo-gear.com",""
"domain","indigo-gear.com",""
"URL","https://www.indigo-gear.com/pages/unsubredirect?aiuid=d0517a223b05b60d08a20a7fe139628c&aieid=108375728",""
"URL","https://www.indigo-gear.com/pages/unsubredirect?aiuid=d0517a223b05b60d08a20a7fe139628c&aieid=108375728&is=1",""
"URL","https://www.indigo-gear.com/products/concealed-lockpicks-set-transparent-lock?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737772&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/concealed-lockpicks-set-transparent-lock?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737779&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/jo1-battery-operated-dimmable-led-under-cabinet-light-cob-led-puck-lights-closets-lights-with-remote-control-for-wardrobe-bathroom?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737758&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/jo1-battery-operated-dimmable-led-under-cabinet-light-cob-led-puck-lights-closets-lights-with-remote-control-for-wardrobe-bathroom?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737767&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/metal-mini-crowbar-set?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737744&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/metal-mini-crowbar-set?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737753&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/metal-repairing-adhesive-super-glue?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737730&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
"URL","https://www.indigo-gear.com/products/metal-repairing-adhesive-super-glue?aiuid=16dd3ae8eaaae998b5daa73af5bc857c&ailid=5396737737&utm_source=themachine&utm_medium=machine-email&utm_campaign=newsletter-2023-02-25",""
