"Indicator type","Indicator","Description"
"URL","http://oshaeducationschool.com","0e359e118eba5b49462d3ac870a2585d1153cb3677c97c3cd531b277e4b4fd45"
"domain","oshaeducationschool.com",""
"email","farhan@oshaeducationschool.com",""
"hostname","amp.oshaeducationschool.com",""
"hostname","lms-staging.oshaeducationschool.com",""
"hostname","lms.oshaeducationschool.com",""
"hostname","staging.oshaeducationschool.com",""
"URL","http://www.oshaeducationschool.com/",""
"URL","https://www.oshaeducationschool.com/",""
"URL","https://www.oshaeducationschool.com/articles/buy-now-pay-later",""
"URL","https://www.oshaeducationschool.com/promotions?special=exclusivediscount",""
"URL","https://www.oshaeducationschool.com/promotions?special=limitedtimeoffer2022",""
"FileHash-SHA256","165072a6edf5573be186e7477df64bdab442031cf8e063299fbcd5eaec6b59e3",""
"FileHash-SHA256","1d58c735d408faceec26492f7a009bd2d67c46aa1d882e1c36b9f28c1591001e",""
"FileHash-SHA256","2b7c3a70b08a6435c943d914fa0ab55106071bc650c2cb94b52a4a3f1572c56d",""
"FileHash-SHA256","3eb430780779ad039b90cb1bfc851ecddf1046362592f3e01d4d790cc702dfc5",""
"FileHash-SHA256","413a7e8af8644bbebfdb0bca1909090e6e9d3b29007eb45b2252ecd0dacdac35",""
"FileHash-SHA256","4a8d553bae94b6c4f9940ccfc10bb770799bdef92050028ef18cf132f916e1e1",""
"FileHash-SHA256","53a2c8f9b23645ab7edd2c0afe9296ab973f75cfeba71cd733ec5371029fae76",""
"FileHash-SHA256","57148ea191de05a2e806d6fd5071483b3241f234ac62aa64ea882c293b787a62",""
"FileHash-SHA256","5be88e19c10b7938fc167a4286277ec2dc95e498acb5795fa06ed7c4043a632a",""
"FileHash-SHA256","7ab95ba29fd65216ae854a664092c3e2c0d7a7986ab8880bee77d3dc74a97467",""
"FileHash-SHA256","8a64cfbc24f96c120a8f5fca009058343a0cf09994de389ea9690bf143c45f00",""
"FileHash-SHA256","8abf8bafa09b220a9bad79bbb549bf2c7ffee7f8249e8fb3f7ba1386865629e0",""
"FileHash-SHA256","8edcbb0f33a828388fcf27989eea7e608fb63bf9ea60c56866090016dc38688b",""
"FileHash-SHA256","925f2450ff3db139947d1ee30b111426f9ae405e768125c5889426850dfdbe89",""
"FileHash-SHA256","a8e2e263211020b31de3fb8dcd25c11698a100ef031fe1781d095249d94c9e7e",""
"FileHash-SHA256","befacfff7722a071c34b5296e0fcc9ddba9062fa3a34f5fa1bf1eaa34f1f7c38",""
"FileHash-SHA256","cd4eb920e62a360ca1d92db524cc780eff00d0b7500f1a68cc19b908cb4da92e",""
"FileHash-SHA256","cfa5f34bf96e93db0ecc3dd44a64707ab3f58b1ecb501c597be202b241f1a28c",""
"FileHash-SHA256","de3b0ca24028c3aa47a073eff793ea45a700adca7ea22ce14c32ec2ad7c58f8d",""
"FileHash-SHA256","e5c05375072d09dcf2dba40cd3c1e60fa355b655146541c397bd568ea674837d",""
"domain","alienboss.xyz",""
"domain","arcanei.xyz",""
"domain","asna.com",""
"domain","basedboppy.xyz",""
"domain","binshare.net",""
"domain","catwifbox.xyz",""
"domain","chainshunter.xyz",""
"domain","chirpon.xyz",""
"domain","chukwukauba.xyz",""
"domain","colosseum-battlefly.xyz",""
"domain","crewnetwork.org",""
"domain","damarts.xyz",""
"domain","designgurus.io",""
"domain","dhruvk.xyz",""
"domain","edgenhelp.com",""
"domain","horizonagency.xyz",""
"domain","mapsscraper.ai",""
"domain","motfunds.com",""
"domain","raysee.jp",""
"domain","samrjj.in",""
"domain","seniorsgenetest.org",""
"domain","southealingpharmacy.co.uk",""
"domain","sqrat.xyz",""
"domain","strength-training.xyz",""
"domain","stusie.xyz",""
"domain","supersonghao.xyz",""
"domain","theribys.xyz",""
"domain","xcriminal.xyz",""
"domain","xtzminer.xyz",""
"URL","http://basedboppy.xyz/",""
"URL","http://hoo.be/amlabaan/1v3J4euhRMR",""
"URL","http://raysee.jp/",""
"URL","http://samrjj.in/",""
"URL","http://seniorsgenetest.org/",""
"URL","https://asna.com/",""
"URL","https://basedboppy.xyz/",""
"URL","https://binshare.net/VpA86cJvJF8RkrwJO3dy",""
"URL","https://crewnetwork.org",""
"URL","https://hoo.be/onboarding/claim-your-link/concrete",""
"URL","https://hoo.be/onboarding/claim-your-link/frame",""
"URL","https://mapsscraper.ai",""
"URL","https://mapsscraper.ai/",""
"URL","https://mapsscraper.ai/api/getm",""
"URL","https://mapsscraper.ai/web",""
"URL","https://raysee.jp/column/archives/line-stop&amp",""
"URL","https://www.designgurus.io/course-play/grokking-the-coding-interview",""
"URL","https://www.motfunds.com/en",""
"hostname","no-sni.vercel-infra.com",""
