"Indicator type","Indicator","Description"
"FileHash-MD5","cba52d29d0158bbec6816fbd31c91641",""
"email","info@club-prae.com",""
"domain","club-prae.com",""
"hostname","mag.club-prae.com",""
"hostname","test.club-prae.com",""
"URL","http://club-prae.com/lady/emu/index.html",""
"URL","http://club-prae.com/lady/index.html",""
"URL","http://club-prae.com/lady/nozomi/index.html",""
"URL","http://club-prae.com/lady/serika/index.html",""
"URL","http://club-prae.com/lady/sumire",""
"URL","http://club-prae.com/top.html",""
"URL","https://club-prae.com/lady/naho/index.html",""
"URL","https://club-prae.com/lady/rin/index.html",""
"URL","https://club-prae.com/lady/sakura/index.html",""
"URL","https://club-prae.com/lady/umi/index.html",""
"URL","https://club-prae.com/lady/yukari/index.html",""
"URL","https://club-prae.com/top.html",""
"URL","https://mag.club-prae.com/",""
