"Indicator type","Indicator","Description"
"email","ficc@saiconference.com",""
"email","j.contactus@ajonc.net",""
"email","j.feedback@sjams.net",""
"email","noreply@qemailserver.com",""
"domain","ajonc.net",""
"domain","sjams.net",""
"domain","qemailserver.com",""
"hostname","gov1.unsubscribe.qemailserver.com",""
"hostname","smtp-250-32.fra1.qemailserver.com",""
"hostname","smtp-250-40.fra1.qemailserver.com",""
"hostname","smtp-250-44.fra1.qemailserver.com",""
"hostname","smtp-253-48.pdx1.qemailserver.com",""
"hostname","smtp1.fra1.qemailserver.com",""
"hostname","smtp1.sjc1.qemailserver.com",""
"hostname","smtp10.sjc1.qemailserver.com",""
"hostname","smtp12.sjc1.qemailserver.com",""
"hostname","smtp14.iad1.qemailserver.com",""
"hostname","smtp2.sjc1.qemailserver.com",""
"hostname","smtp3.sjc1.qemailserver.com",""
"hostname","smtp4.iad1.qemailserver.com",""
"hostname","smtp5.iad1.qemailserver.com",""
"hostname","smtp5.sjc1.qemailserver.com",""
"hostname","smtp54.yul1.qemailserver.com",""
"hostname","smtp6.sjc1.qemailserver.com",""
"URL","http://hf2e26sqivwdgmrzjnvvk5js@unsubscribe.qemailserver.com/?subject=qunsub_cgc_za91wq6evwxyoig.ur_9tmzpel329kkuu2.altusdxm.emd_unc1djcwoswj7pf.sv_7pxf6sbgryaefoy.ur_9tmzpel329kkuu2.cg_shz2wjawigjhwhb.",""
"URL","http://smtp-250-32.fra1.qemailserver.com/",""
"URL","http://smtp-250-40.fra1.qemailserver.com/",""
"URL","http://smtp-250-44.fra1.qemailserver.com/",""
"URL","http://smtp-253-48.pdx1.qemailserver.com/",""
"URL","http://smtp1.sjc1.qemailserver.com/",""
"URL","http://smtp11.sjc1.qemailserver.com/",""
"URL","http://smtp17.iad1.qemailserver.com/",""
"URL","http://smtp2.sjc1.qemailserver.com/",""
"URL","http://smtp3.sjc1.qemailserver.com/",""
"URL","http://smtp5.sjc1.qemailserver.com/",""
"URL","http://smtp6.sjc1.qemailserver.com/",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_2BEffqgA4DqOMUj.UR_2xXCimj7hxN8x4O.bwgstrategy.EMD_ERrRpWmUpVP9c9e.SV_3juCWWLIjlGRS5w.UR_2xXCimj7hxN8x4O.null.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_4JUzHCMQD18Qb91.GR_5t1LIaGJuXGq8Yt.vdc.EMD_Yi0KmFyRi4E0CEN.SV_b30oqyFva2COaHA.UR_8D3Z2QGZxFp2T8p.CG_2s550qiyjMWAU0A.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_9oZiRYtk2G4qJQN.UR_2xXCimj7hxN8x4O.bwgstrategy.EMD_CC1B6S6ur1iazUB.SV_eRvBxgIsfUVhsBE.UR_2xXCimj7hxN8x4O.CG_29tRvqEsz1DUFGn.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_KrzOXRHKswB3icJ.UR_2xXCimj7hxN8x4O.bwgstrategy.EMD_UDsJ3nrSblyQ4Tz.SV_b7w93fTL2fWSzDU.UR_2xXCimj7hxN8x4O.CG_20Vj2qF9VC8Mx0D.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_eL8ZrBgRJgcMfBq.UR_2xXCimj7hxN8x4O.bwgstrategy.EMD_fh1TX3xe68d6O79.SV_a43oeR6PSb9fENg.UR_2xXCimj7hxN8x4O.CG_2VQN03i1QNP6iOg.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_fdpEaLZgKIzoRl8.UR_8jqeURKSjyT9RQ2.parthenongroup.EMD_LYj0ysK6PMOlhAw.SV_5sy6jMBMhBsPxgG.UR_8jqeURKSjyT9RQ2.null.",""
"URL","http://unsubscribe.qemailserver.com/?subject=qunsub_CGC_pu93pGgqmDi7Knj.GR_5t1LIaGJuXGq8Yt.vdc.EMD_Yi0KmFyRi4E0CEN.SV_b30oqyFva2COaHA.UR_8D3Z2QGZxFp2T8p.CG_2s550qiyjMWAU0A.",""
"URL","https://HF2E26SQIVWDGMRZJNVVK5JS@unsubscribe.qemailserver.com?subject=qunsub_CGC_zA91Wq6eVWxyoig.UR_9tMzPEl329KkUu2.altusdxm.EMD_Unc1DjcwosWj7pf.SV_7Pxf6SbgryaeFoy.UR_9tMzPEl329KkUu2.CG_sHz2wjawIgjHwhb.",""
"URL","http://MRQW4QTWGNBDSZ2CKU2EOWRX@gov1.unsubscribe.qemailserver.com/?subject=qunsub_CGC_Z7hgku9ecdriffj.GR_danBv3B9gBU4GZ7.cemgsa.EMD_uEyIS47LLKknMhH.SV_51s8cjAhHrE0t1A.UR_bK7faUUuc9O8qoK.CG_1ig4CFaguDfLEUt.",""
